geo_region,state,count,type_of_cancer,
Southeast,Alabama,560676,All cancers (malignant and nonmalignant),
Pacific,Alaska,63356,All cancers (malignant and nonmalignant),
Mountain,Arizona,686891,All cancers (malignant and nonmalignant),
Delta States,Arkansas,351478,All cancers (malignant and nonmalignant),
Pacific,California,3735581,All cancers (malignant and nonmalignant),
Mountain,Colorado,510556,All cancers (malignant and nonmalignant),
Northeast,Connecticut,479664,All cancers (malignant and nonmalignant),
Northeast,DC,63737,All cancers (malignant and nonmalignant),
Northeast,Delaware,127219,All cancers (malignant and nonmalignant),
Southeast,Florida,2820625,All cancers (malignant and nonmalignant),
Southeast,Georgia,1072761,All cancers (malignant and nonmalignant),
Pacific,Hawaii,158303,All cancers (malignant and nonmalignant),
Mountain,Idaho,181184,All cancers (malignant and nonmalignant),
Corn Belt,Illinois,1509809,All cancers (malignant and nonmalignant),
Corn Belt,Indiana,759024,All cancers (malignant and nonmalignant),
Corn Belt,Iowa,403755,All cancers (malignant and nonmalignant),
Northern Plains,Kansas,331656,All cancers (malignant and nonmalignant),
Appalachian,Kentucky,584182,All cancers (malignant and nonmalignant),
Delta States,Louisiana,541698,All cancers (malignant and nonmalignant),
Northeast,Maine,197888,All cancers (malignant and nonmalignant),
Northeast,Maryland,680891,All cancers (malignant and nonmalignant),
Northeast,Massachusetts,822948,All cancers (malignant and nonmalignant),
Lake States,Michigan,1242898,All cancers (malignant and nonmalignant),
Lake States,Minnesota,654287,All cancers (malignant and nonmalignant),
Delta States,Mississippi,343885,All cancers (malignant and nonmalignant),
Corn Belt,Missouri,726017,All cancers (malignant and nonmalignant),
Mountain,Montana,132183,All cancers (malignant and nonmalignant),
Northern Plains,Nebraska,213446,All cancers (malignant and nonmalignant),
Mountain,Nevada,279886,All cancers (malignant and nonmalignant),
Northeast,New Hampshire,184222,All cancers (malignant and nonmalignant),
Northeast,New Jersey,1162610,All cancers (malignant and nonmalignant),
Mountain,New Mexico,205797,All cancers (malignant and nonmalignant),
Northeast,New York,2497419,All cancers (malignant and nonmalignant),
Appalachian,North Carolina,1202522,All cancers (malignant and nonmalignant),
Northern Plains,North Dakota,81347,All cancers (malignant and nonmalignant),
Corn Belt,Ohio,1437407,All cancers (malignant and nonmalignant),
Southern Plains,Oklahoma,431184,All cancers (malignant and nonmalignant),
Pacific,Oregon,470033,All cancers (malignant and nonmalignant),
Northeast,Pennsylvania,1739687,All cancers (malignant and nonmalignant),
Northeast,Rhode Island,141164,All cancers (malignant and nonmalignant),
Southeast,South Carolina,578923,All cancers (malignant and nonmalignant),
Northern Plains,South Dakota,101383,All cancers (malignant and nonmalignant),
Appalachian,Tennessee,765501,All cancers (malignant and nonmalignant),
Southern Plains,Texas,2419395,All cancers (malignant and nonmalignant),
Mountain,Utah,242201,All cancers (malignant and nonmalignant),
Northeast,Vermont,85622,All cancers (malignant and nonmalignant),
Appalachian,Virginia,866168,All cancers (malignant and nonmalignant),
Pacific,Washington,818213,All cancers (malignant and nonmalignant),
Appalachian,West Virginia,257225,All cancers (malignant and nonmalignant),
Lake States,Wisconsin,712113,All cancers (malignant and nonmalignant),
Mountain,Wyoming,59366,All cancers (malignant and nonmalignant),
